,Date,Tweet,likeCount
27,2022-12-22 14:00:54+00:00,"Traffic Update as of 10:00 pm
Manila-Cavite Toll Expressway
#oplanpasko2022
@DOTrPH https://t.co/zRuPmeLJmx",1
28,2022-12-22 13:42:17+00:00,I beat the Metro Manila traffic by moving out of it.,2
29,2022-12-22 13:39:58+00:00,BRO RAYMUND MARASIGAN LOOKS SO HAPPY,2
30,2022-12-22 13:39:21+00:00,Wahh di ko talaga keri yung traffic dito sa manila 😭😭😭,1
31,2022-12-22 13:28:09+00:00,grabe traffic mo manila,0
32,2022-12-22 13:20:25+00:00,"Hindi pa ba naiimbento 'yung Capsule Technology from Dragonball Z?

Pwede mo na ibulsa 'yung kama mo, o 'di kaya 'yung kotse/motor/bike mo para 'di ka na mahirapan umuwi.

Feeling ko ito na lang solusyon sa traffic sa Metro Manila eh",0
33,2022-12-22 13:15:00+00:00,"The MMDA said shopping malls in Metro Manila may resume their normal schedules starting December 23, noting the anticipated traffic during the Christmas season ""did not come to pass"".

Provincial buses would also be allowed to return to EDSA from Dec. 24, 2022 to January 2, 2023. https://t.co/D20JZUKZB3",1
34,2022-12-22 12:47:41+00:00,"Didn't hear ""i'm too tired"", ""it's late na"", or ""bukas nalang kita ihatid"" from him. even after hours of biyahe from san pedro to manila, and vice versa (commute), then san pedro to Calamba (drive thru traffic) he still managed to smile, laugh, and even massage my feet after 🥺",1
35,2022-12-22 12:47:40+00:00,"he woke up at 4am to leave the house at 5am &amp; pick an important document up in Manila. Took hours to process it &amp; all so he got home at 3pm (also bc of heavy traffic), went straight to Calamba with me from San Pedro bc he hates when I have to commute. (4pm to 7pm bc of traffic) https://t.co/4dlgF5zS3q",3
36,2022-12-22 12:45:27+00:00,lakas ng loob mag-ikot sa manila kahit traffic,0
37,2022-12-22 12:37:52+00:00,manila napaka traffic mo 🥴,0
38,2022-12-22 12:36:57+00:00,Good decision nga wala pako kabalik manila kay grabi ka traffic,0
39,2022-12-22 12:20:54+00:00,qaqo na-low batt ako sa traffic putanqina mo metro manila,0
40,2022-12-22 11:35:40+00:00,"Traffic Update as of 07:35 pm
Manila-Cavite Toll Expressway
#oplanpasko2022
@DOTrPH https://t.co/XlEtZ0qzGy",1
41,2022-12-22 11:30:05+00:00,"Traffic Update as of 07:28 pm
South Metro Manila Skyway Elevated Expressway
#oplanpasko2022
@DOTrPH https://t.co/fRAzPzLwKp",1
42,2022-12-22 11:19:16+00:00,"My traffic ordeal: Mula Timog, QC hanggang Ayala Mall Manila - 3 hours",0
43,2022-12-22 11:18:37+00:00,you know what… i’ll actually miss the traffic in manila,0
44,2022-12-22 11:14:38+00:00,Eraserheads enjoyer https://t.co/253Wny9opC,3
45,2022-12-22 11:08:16+00:00,the traffic in manila is madness,1
46,2022-12-22 10:56:16+00:00,Ponyeta apaka traffic sa manila. Ihing ihi na ako.,0
47,2022-12-22 10:52:36+00:00,grabe three days na on the way si kuya pa-marikina HAHAHHHA iba na talaga traffic sa metro manila https://t.co/H0tygfybWU,0
48,2022-12-22 10:42:18+00:00,I literally fell asleep and when I woke up we’re still stuck in traffic haaayyyy Christmas season in Manila talaga,1
49,2022-12-22 10:39:11+00:00,"My gosh, pwede lang lakarin ang airport at dome, tyaka marami malapit na matutulugan, 

I will never say na walang traffic but compared to Manila though.. so different... 

Tyaka there are a lot of nearby cities and provinces you can visit - con-vaca ka na agad! https://t.co/DimZ6U0pDI",1
50,2022-12-22 10:38:30+00:00,tangina kada na lang uuwi ako ng sta maria laging traffic jusko naman nakakaurat 4pm ako umalis ng manila sa lagay na to ha????????????,0
51,2022-12-22 10:32:57+00:00,"Traffic Update as of 06:31 p.m.
Manila-Cavite Toll Expressway
#oplanpasko2022
@DOTrPH https://t.co/Yaj672AVAp",1
52,2022-12-22 10:25:20+00:00,"I'm still deciding whether to go home sa Pampanga for Christmas or just stay in condo and cook spaghetti with my cats sa 24th. Lol.

Pros of going home: uhm gusto ng nanay ko lol

Cons: traffic papunta at pauwi

Pros of staying in Manila: peace of mind actually

Cons: wala lol",39
53,2022-12-22 10:23:13+00:00,grabe talaga traffic sa metro manila ayoko na 😭,2
54,2022-12-22 10:20:46+00:00,I surely did not miss the traffic of Manila,0
55,2022-12-22 10:09:44+00:00,manila so traffic,0
56,2022-12-22 09:55:38+00:00,Ang traffic sa Manila potaaaaah naloka ako,4
57,2022-12-22 09:50:13+00:00,"Yawaa sa traffic padung davao uy, lasang pa lang wa na nilihok. Hello sa 1  hr lasang-bunawan, okay pani!!!!!????normal paba ni. Sobra paman nis Manila 🥴",2
58,2022-12-22 09:49:12+00:00,"Manila traffic gets worse day by day 😅😭😪 Anona, Pinas?",0
59,2022-12-22 09:41:04+00:00,"Traffic Update as of 05:34pm
South Metro Manila Skyway AT GRADE
#oplanpasko2022 https://t.co/IhXjmD44cE",0
60,2022-12-22 09:40:18+00:00,"Traffic Update as of 05:34pm
South Metro Manila Skyway Elevated
#oplanpasko2022 https://t.co/qF21q8TROp",0
61,2022-12-22 09:35:16+00:00,bruh this is the reason I just want to stay home we left to go to the xmas party and it’s almost been 2 hours and we’re still not there due to traffic I hate manila traffic 😂😂😭😭,10
62,2022-12-22 09:22:39+00:00,"OMG now lang dumating yung Lalamove from bungad ng Bulacan to Manila. Hello ? I understand the traffic but the way to me is for sure 1:30 hours or 2 hours only but he took like 5 hours ? Di halatang nag double booking ka Kuya ah, haha ! Tinamad na ako mag stream AAAAAAAAAAA",2
63,2022-12-22 09:20:16+00:00,tindi ng traffic sa manila ah,0
64,2022-12-22 09:05:37+00:00,grabe yung traffic pota 3 hrs na di pa ko nakarating manila,0
65,2022-12-22 09:00:02+00:00,"The South Commuter Railway Project will offer fast public transport, reduce traffic congestion, and contribute to lower greenhouse gas emissions in Manila.

The project is central to the government’s vision of bringing back the culture of rail transport in the Philippines. https://t.co/3LuF3X9YWC",10
66,2022-12-22 08:59:02+00:00,Grabe Manila almost 2 hrs na kaming stuck sa traffic 😭,0
67,2022-12-22 08:55:26+00:00,fucking metro manila traffic,0
68,2022-12-22 08:27:30+00:00,"Welcome to manila, pita subrang traffic",0
69,2022-12-22 07:46:13+00:00,ah manila ang traffic mo,0
70,2022-12-22 07:37:37+00:00,@ynglch oa check sa 45 minutes uy 😭 aron ingnon rajud mas better sa manila traffic MAGPUYO TA,0
71,2022-12-22 07:35:46+00:00,"Last minute Christmas shopping, attending a reunion, or going somewhere? 🤔
Beat the traffic this holiday season by taking LRT-1 and booking your Angkas ride to/from select #LRT1 stations! 🚊🛵
Mas mabilis at convenient na, makakatipid ka pa! 💯 https://t.co/XmDn98aByE",2
72,2022-12-22 07:31:22+00:00,Manila nga Naman traffic panga,0
73,2022-12-22 07:21:42+00:00,"di ako makakasurvive sa manila, ilang minutong traffic pa lang sumasama na loob ko",0
74,2022-12-22 07:11:15+00:00,tanginang traffic dito sa manila,0
75,2022-12-22 06:43:17+00:00,"sorry to break it to you but davao traffic is worse than manila.

in metro manila, you have options: mrt/lrt, carousel, angkas, taxi whenever u need it 24/7.

in davao, you have little to no option. wala kang masakyan na jeep or taxi during rush hour or gabi na. https://t.co/MbJUwQ1xYa",219
76,2022-12-22 06:35:56+00:00,"thank you to manong grab driver who gave me a mask because I forgot to wear one sa pagmamadali. also, while in traffic, we predicted how the papa dudut story will end. 🤣

see you next year manila! ✌🏼",5
77,2022-12-22 06:25:48+00:00,Grabe ang traffic parang metro manila na HAHAHAHAH,0
78,2022-12-22 06:21:58+00:00,"@RommelFLopez Di nga nila naresolve ang traffic dito sa las piñas, traffic pa kaya sa buong metro manila...",14
79,2022-12-22 06:15:00+00:00,"The Parañaque City government announced that heavy traffic will be experienced in the city as the Filipino rock band, Eraserheads, will be holding a reunion concert at 8:30 p.m. today, Dec. 22.

https://t.co/RxoRvup7Tj",4
80,2022-12-22 06:11:59+00:00,Tanginang traffic ‘to AHAHAHA bakit ba kasi car centric ang manila,1
81,2022-12-22 05:55:33+00:00,Nothing more anxiety-inducing than my dad tryna bombard me with messages implying that i need to hurry. 😩 in this mf manila traffic and christmas rush?? Idt so dad.,1
82,2022-12-22 05:47:53+00:00,Kumusta traffic sa manila? Nagbabaak ako lumabas today,0
83,2022-12-22 05:09:16+00:00,Manila &gt; traffic,1
84,2022-12-22 04:54:28+00:00,@itshaykayyy @balterxar Well I missed it cuz Manila traffic is hell,1
85,2022-12-22 04:38:47+00:00,"Manila, EDSA traffic 😅🚍🚦",0
86,2022-12-22 04:32:05+00:00,I'm exhausted 🫠,0
87,2022-12-22 04:16:51+00:00,"Posibleng ipatupad sa unang bahagi ng taong 2023 ang single ticketing system para sa traffic law violations sa Metro Manila.

https://t.co/EpA64Wd4KD",5
88,2022-12-22 03:22:36+00:00,"Me: aral ako sa Manila
👩: wag dun traffic dun delikado 
Me: work ako sa Manila 
👩: dito ka nalang hirap buhay dun 
Me: plan namin work abroad 
👩: alam mo na consequence makuntento ka nalang",1
89,2022-12-22 03:04:09+00:00,Nakasakay na kami and malapit na kami sa airport tapos pagdating doon sabi niya 650 lang maam. GAGO ang lapit ng MOA to airport kahit traffic di aabot ng 600+ yon. Before I left manila disappointment parin nakuha ko. If not for kpop con di talaga ako babalik mnl napaka unfair,0
90,2022-12-22 03:01:14+00:00,"medj nagpapanic na ko because 
a. papalapit na BE 
b. im leaving home for Manila and di ko alam if makakaya ko ba yung stress dun 😣 traffic palang tas ang mahal ng living expenses!!!",0
91,2022-12-22 02:59:04+00:00,"As always, TRAFFIC NA LANG PALAGI PAPASOK NG MANILA UGH",2
92,2022-12-22 02:55:21+00:00,reading stories about Manila traffic breaks my heart. Filipinos deserve better. There is a special place in hell for these corrupt politicians. Apilon na nato si Toni Gonzaga diha.,0
93,2022-12-22 02:25:41+00:00,Ang lala ng traffic sa manila. Kaloka.,0
94,2022-12-22 02:19:47+00:00,keri pa ba lumuwas ng manila bukas? or super traffic na hahahaha,0
95,2022-12-22 02:18:20+00:00,"I have a flight to catch but I’ve been stuck in the same bloody spot for 20 minutes now I fucking hate Manila traffic

This is why I never go outside",3
96,2022-12-22 02:06:15+00:00,"@heyitsmariannen Hahahahahahaha Davao traffic is here. Manila may be worse, but it doesn’t mean davao public transpo is a cake walk.",3
97,2022-12-22 01:20:53+00:00,"""you should listen to this new song""",0
98,2022-12-22 01:13:55+00:00,Manila be like traffic gyud siya,0
99,2022-12-22 01:05:57+00:00,Heavy traffic din ba sa manila at alabang? I opted my mom na virtual check up na lang ako. E sabi nya kelangan daw ma physical check up na agad agad.,0
100,2022-12-22 00:44:10+00:00,wala ko kasagang sa ang manila daw naay pinaka maayos na transpo wa ka kilati ug rainbow auntie? tho nagsugod na ug pait amo traffic diri pero PINAKA worst jud inyo hagbay na pag sure sa imong gibati https://t.co/oWDhLr7WkF,0
101,2022-12-22 00:29:58+00:00,calculating manila traffic time,1
102,2022-12-22 00:15:13+00:00,"ung mga nagrereklamo ng ganito halatang hindi pa nakapunta outside NCR, ang lala nga ng traffic sa Manila, may superiority complex yarn https://t.co/zeq4jZj6pN",0
103,2022-12-21 23:24:15+00:00,Sorry but I hate Manila. Ppl are not following traffic rules. Yung ibang vehicles parang walang nakikitang taong tumatawid. May nakaharang din sa pedestrian na vehicles.,3
104,2022-12-21 23:05:16+00:00,"@cressy12 Anad anad Lang Cresong.
Scary at first. 😅
Laagan man ko diko gusto ma homesick Mao sigeg layas sigeg drive😆

Sa NY mura rapud na ug Manila dira Ang traffic noh? Nah disciplined man mga tao dani though naa pud pasaway like me magover speeding Kay nice man kaau ang dalan. Haha.",1
105,2022-12-21 22:52:54+00:00,"@kienthreyes We can't solve the traffic congestion here in Manila, even adding numbers of skyway will never solve anything. We should disperse gov offices and opportunities across different areas and not centralized Manila. In this way people will not over populate this city.",1
106,2022-12-21 21:21:57+00:00,Davao Traffic tryna be like Cebu and Manila 🥴,0
107,2022-12-21 19:04:17+00:00,Urinals are so pratical nowadays especially when ypu have to deal with the horrendous Metro Manila traffic. https://t.co/RSmXBCnGQ4,0
108,2022-12-21 18:58:42+00:00,"@AnyabondF Another level is Manileños asking if may mall daw sa Cavite, which is like an hour away from Manila with traffic 😭😭😭 Manileños are whack honestly",1
109,2022-12-21 18:57:23+00:00,"@Arshiethromycin This is exactly what I thought when I read about the terrible traffic in Metro Manila. Kawawa naman ang may incontinence (and there's several conditions that can result in this - like UTI, vaginal infection, constipation - as well as medication).",3
110,2022-12-21 17:45:15+00:00,the only thing I could wish for tomorrow is good weather.,0
111,2022-12-21 17:21:41+00:00,The fact that we taga vismin always struggle to book for an accommodation in Manila near sa concert area if kung maka book man is super Layo and the traffic omg.,0
112,2022-12-21 16:51:17+00:00,@adi_gajigan Manila is heaven for me. But I had to let it go 4 years ago kasi di ko na kaya ang traffic. Hell on earth na sya for me. Nagbakasyon uli ako jan 2 weeks ago and walang nagbago. Lumala pa nga. It takes between 30 mins to an hour to book Grab sa Glorietta.,1
113,2022-12-21 16:45:00+00:00,"SMC Infrastructure expects the holiday traffic “exodus” to peak this week and declared a toll holiday for Christmas and New Year.

https://t.co/Gqo1wlj8Id",2
114,2022-12-21 16:39:41+00:00,hoy tinuod bahala mo dra inyo rajud ng manila kay dimi mabuhis traffic dnha HAHAHHAA https://t.co/gFyQaT3D5c,0
115,2022-12-21 16:36:04+00:00,"Hala grabe yung traffic nga, nakaka 3hrs ako usually pag rizal to manila eh T^T https://t.co/3GZHJgiKaF",0
116,2022-12-21 16:05:44+00:00,"grabehas mga rants aris ka traffic sa manila oy, na feel gud nako ang ka irit nilang tanan",1
117,2022-12-21 15:56:57+00:00,@emotionsidebhie Aaahhh ok ok im glad then!! :D hugs and besitos 💖 lets hang soon if manila traffic will allow hehe 🫶🏼🫶🏼🫶🏼,1
118,2022-12-21 15:50:35+00:00,fulfilling talaga magpa full tank tas mauubos lang dahil sa traffic sa metro manila 😍,1
119,2022-12-21 15:39:24+00:00,"@aldeaflores111 Nah the traffic in Manila is a nightmare. Traffic din sa Bacolod, but the Manila traffic is the main reason why di ako nagstay dun. Papasok ako ng 9 pero dadating ako ng school almost lunch break kahit 2 hours ahead ako bumyahe 😁",0
120,2022-12-21 15:35:02+00:00,"Tbh, hearing traffic stories sa manila makes me glad I didn’t study sa ust. Imagine mainit na traffic pa. Sa baguio ngang traffic lang bwisit na bwisit na ako i dont know how ill survive. I’ll probably will, pero imagining the how, i cannot.",0
121,2022-12-21 15:32:11+00:00,"and the funny thing is manila has the worst traffic ever 💀 in davao may be traffic but its tolerable, not to mention the cheaper fares. also, if any artist would ever want to perform in the dome in davao, there are a lot of hotels, suites, etc near the venue, not to mention +@ https://t.co/TXyqXmxtjq",0
122,2022-12-21 15:23:02+00:00,"the ""city life"" in manila yall brag is actually about heavy traffic, undisciplined drivers and commuters, overpriced taxis despite having meters, polluted and dirty af, uncultured ppl who believes that vismin is not affected by modernization sorry not sorry but DAVAO LIFE IS HERE",0
123,2022-12-21 14:51:33+00:00,@bestienihao Gagi maayos ba na transportation tawag nya sa traffic sa mm? Gaadto kog manila to visit relatives Pero jusko wa jud ko nangandoy mupuyo didto. Maka lisang ang traffic og ang ka over populated. Pero for our faves mulugsong nalang mi diha kay naa man mi kwarta ikagasto HAHAHAHH,1
124,2022-12-21 14:47:33+00:00,@bluebutterpam hahahagah probinsya lyf na kami 🤪 bye manila na super traffic,1
125,2022-12-21 14:43:19+00:00,Nakakadrain talaga traffic sa Manila😩,0
126,2022-12-21 14:42:18+00:00,Iniisip ko pa lang yung traffic sa Metro Manila nahihilo na ko 😭,1
127,2022-12-21 14:30:36+00:00,"One of the most liveable city ni, pigawan kamo? Perde pa kamo gani ka Iloilo, sagay kamo tikal. Traffic lang man na sikat da sa inyo, daw si sin o gid kamo kay taga Manila kamo https://t.co/o3f8LA2nH2",10
128,2022-12-21 14:28:02+00:00,"The Mariteses of the University of Edinburgh, reunited.🏴󠁧󠁢󠁳󠁣󠁴󠁿❤️🇵🇭 From the blustery peak of Arthur’s Seat to the mind-numbing traffic of Metro Manila, it’s so nice catching up with these ladies who made life in Edinburgh infinitely better.🥰 @thisisemee @cabridojen https://t.co/ZfoubF8ckb",8
129,2022-12-21 13:54:46+00:00,"i hate manila omg, traffic so much😡😡😡 HAHAAHHAAHAHAHA",0
130,2022-12-21 13:17:19+00:00,@USAmbPH I hope they get to visit the nicer places🏖️. Sad to think the first experience they'll have of the PH is the manila traffic.,1
131,2022-12-21 13:14:25+00:00,Si Mark tahimik lang... Nanahimik na nang tuluyan sa malalang heavy traffic sa Metro Manila. https://t.co/5bmXAe6p4I,1
132,2022-12-21 13:12:44+00:00,IM FINALLY FREE imma do wfh so di ko abot amf metro manila traffic 😩🎉,0
133,2022-12-21 12:53:24+00:00,"My brother's birthday is tommorow
Brovillage is gonna be sad that i won't be able to see him on the cemetery
Damn you manila traffic",0
134,2022-12-21 12:37:40+00:00,I hate manila traffic but i would also brave it for hot pot lol,2
135,2022-12-21 12:27:33+00:00,Metro Manila traffic horror: palabas palang ng C5 bumper to bumper na grabe,0
136,2022-12-21 12:26:37+00:00,"Can’t believe I’ve been to Manila twice this year, and na survive nako ang December rush hour didto. I cannot the traffic jud!!!",0
137,2022-12-21 12:15:00+00:00,"Metro Manila will start using a single ticketing system for traffic violations around the end of the first quarter of 2023, San Juan City Mayor Francis Zamora said. #PressOnePH 

https://t.co/3opw997aGC",0
138,2022-12-21 12:09:24+00:00,ANG LALA NG MANILA TRAFFIC,0
139,2022-12-21 12:08:56+00:00,okay takits bukas eheads!,0
140,2022-12-21 12:03:37+00:00,"gurl nasa manila ako everyday, what do you mean “mm na lang may pinaka (bare minimum tho) maayos na transpo” eh pag bumyahe ka nga past 6pm wala ka nang masasakyan so maghihintay ka na nga na may dumating na pwedeng sakyan, mauurat ka pa sa traffic https://t.co/jc03h84Ene",1
141,2022-12-21 12:02:09+00:00,Sanay naman akong gumagala pero ang lala talaga ng traffic both in metro manila and here in pampanga. Hilong hilo ako my ghad,0
142,2022-12-21 12:00:02+00:00,Trying to stay alive in Manila traffic: https://t.co/kyif7XzYT4,17
143,2022-12-21 11:52:55+00:00,literally had to go through 3 hours of horrible traffic just to get home from visiting manila https://t.co/CS46w91n2C,0
144,2022-12-21 11:38:45+00:00,"Landed in Manila!

And holy traffic (this is just at the airport) https://t.co/fFJcnTKiTG",3
145,2022-12-21 11:17:05+00:00,kinda thankful na reassign ako sa manila kasi nakaiwas ako makati christmas rush traffic and 30 mins travelling time ko pauwi 🤭 https://t.co/XCFFUGAC2C,3
146,2022-12-21 11:08:11+00:00,fcking manila traffic sucks,6
147,2022-12-21 10:51:34+00:00,Apaka traffic sa manila ayaw ko na,0
148,2022-12-21 10:06:56+00:00,LOL. tbvh transpo in Manila is worse. yung traffic pa lang eh. super hassle https://t.co/D4NtZ2pHyD,0
149,2022-12-21 10:06:27+00:00,@solalemear pls nakaka discourage mag aral sa manila dahil sa traffic tapos hirap pa bumyahe😭,1
150,2022-12-21 09:53:38+00:00,Lahi ra jud Manila traffic 🥲,1
151,2022-12-21 09:51:13+00:00,nka travel jud ko ONCE sa Manila para sa wedding sa akong tita. NEVER AGAIN JUD YAWAA. Dugay ki naka gawas sa divisoria parking lot 2 hours mi sa sulod murag naa pay traffic mismo sa sulod sa parking lot HAHAHAHAHA,0
152,2022-12-21 09:45:00+00:00,"""We need to work for the vast majority of Filipinos who are actually carless.""

Robert Siy of Move As One Coalition stresses the need to improve the public transport system instead of ""expanding roads and bridges or expressways"" amid the continuing traffic woes in Metro Manila. https://t.co/fnW7CqiaPO",22
153,2022-12-21 09:42:09+00:00,grabe talaga ang traffic ng manila. yung 30 mins away nagiging 2-3hrs 😭,0
154,2022-12-21 09:39:52+00:00,"and fyi, taxis in manila are mostly scams bcs they'll reason out that the meter doesn't work or ""mam, traffic po kasi."" tsaka taxi fares in manila starts at 1k and then still demands extra, and this is for a taxi that smells like shit and this smell sticks to your clothes.",11
155,2022-12-21 09:28:24+00:00,HUY ANO NA YUNH TRAFFIC,0
156,2022-12-21 09:19:42+00:00,"Taga Mindanao ako pero dito ako sa Manila ngayon, totoo yan traffic  at hindi safe dito pag nag lalakad ka mag isa +polluted dito. https://t.co/CWuRXv7xfL",0
157,2022-12-21 09:16:07+00:00,"@WenzzieN Ilang beses ako napadpad sa manila at naipit sa gitna ng traffic ngayong taon. Isang beses lang ako natuwa sa traffic, nung nakasabay namin convoy ni VP bago maginauguration 😂🤣",0
158,2022-12-21 09:09:47+00:00,@geraldania idk lang ha. parang prejudiced lang talaga sila ate doc sa mga probinsya. i assure them na manila may have the worst traffic in the country bc of transpo problems but that's not the case sa province jusq  🥲,0
159,2022-12-21 09:09:47+00:00,@yurz_sasaki di kana makakabalik manila ng 24 sa sobrang traffic mamsh pero keribels mo yan,0
160,2022-12-21 09:06:07+00:00,"@Virgil_KoMETA Me, every time we have to go to Manila. So much time wasted just on traffic. Big part of my day just GONE sitting in traffic. No wonder the country’s not progressing, everyone’s on the road all day. 🤷🏻‍♀️",0
161,2022-12-21 09:04:19+00:00,"RE: Metro Manila traffic, car-centrism, bike lanes 

CC: James Deakin https://t.co/CDD6H3Qdgv",0
162,2022-12-21 09:00:31+00:00,Wow. Manila traffic 🚦,1
163,2022-12-21 08:50:40+00:00,"@keira_ddk Yeah, honestly just a bad situation all around - lgu being the key to the problem but is useless &amp; not agile enough to do something rn, then pinoys being usual dicks. I get it tho, manila traffic is godawful moreso these holidays but ppl here live w/ it bec of policy failure",0
164,2022-12-21 08:50:05+00:00,"Mas less yung traffic nila and so much madali ang pag punta at balik. Like girl dito sa manila sobrang hirap sumakay even mag book ng grab/angkas/joy ride

And also hindi ka pa gugulangan sa pamasahe ng mga drivers doon sa province :)))",1
165,2022-12-21 08:39:53+00:00,"Pagod na pero fierce padin dapat ang pose. 

#grsnaps #traffic #grist #manila #jeepney https://t.co/dZsqgNnB02",0
166,2022-12-21 08:33:34+00:00,Bakit ko ba naisipan pumunta ng manila today. Traffic is so bad,2
167,2022-12-21 08:30:42+00:00,"saan banda sa metro manila ang may maayos na transpo k lang ba kayo HAHAHAHAHA commute sa mm is HELL. traffic pa lang jusko.

ano bang imagination niyo sa dvo, bulubundukin? maghahabal kayo ganyan? ampotek HAHAHA hell din naman commute sa dvo pero at least di umaabot 3hrs https://t.co/EO2CRRVe5T",1
168,2022-12-21 08:28:51+00:00,"Lalamove nasaan ang potragis na Manila sa App nyo????????

Anu binura na ang Maynila sa sibrang traffic https://t.co/jIB3Ol4XC7",1
